BusNumber,BusType,StopOrder,StopNameKorean,StopNameRomanized,StopNameNaver,Latitude,Longitude
219,3,23,화신식물원,Hwa-sin Sing-mu-rwon,,35.991739,129.423883
219,3,24,공항주유소,Gong-hang Ju-yu-so,,35.990354,129.42863
219,3,25,동해환승센터,Dong-hae Hwan-seung Center,,35.98872,129.436783
219,3,26,동해면행정복지센터,Dong-hae-myeon Haeng-jeong Bok-ji Center,,35.988842,129.44021
219,3,27,동해초등학교,Dong-hae Cho-deung-hak-gyo,,35.987557,129.441894
219,3,28,코아루블루인시티,Koaroo Blue In City,,35.981054,129.443897
219,3,29,동해초등학교,Dong-hae Cho-deung-hak-gyo,,35.987557,129.441894
219,3,30,신정리,Sin-jeong-ni,,35.988019,129.445991
219,3,31,영남상가,Yeong-nam Sang-ga,,35.988034,129.449229
219,3,32,약전리,Yak-jeol-li,,35.988687,129.452389
219,3,33,석리,Seong-ni,,35.987247,129.460149
219,3,34,신형주택입구,Sin-hyeong Ju-taek Ip-gu,,35.988327,129.472349
219,3,35,삼양신형아파트,Sam-yang Sin-hyeong A-pa-teu,,35.989494,129.476055
302,3,0,문덕차고지,Mun-deok Cha-go-ji,,35.940508,129.389981
302,3,1,문덕2리,Mun-deok I-ri,,35.940892,129.392206
302,3,2,운전면허시험장,Un-jeon Myeon-heo Si-heom-jang,,35.942854,129.394748
302,3,3,오천읍민운동장,O-cheon-eum-min Un-dong-jang,,35.944972,129.399565
302,3,4,신문덕코아루,Sin-mun-deok Koaroo,,35.952185,129.407806
302,3,5,오천웰메이드홈,O-cheon Wellmade Home,,35.954969,129.408169
302,3,6,문덕초등학교,Mun-deok Cho-deung-hak-gyo,,35.958952,129.408531
302,3,7,문덕온천,Mun-deok On-cheon,,35.961967,129.406587
302,3,8,문덕사거리,Mun-deok Sa-geo-ri,,35.962298,129.402884
302,3,9,준양참마을,Junyang Cham-maeul,,35.962952,129.39942
302,3,10,한일철강,Han-il Cheol-gang,,35.967433,129.384965
302,3,11,현대성우캐스팅,Hyundai Seong-u Casting,,35.972652,129.384535
302,3,12,호동근로자종합복지관,Ho-dong Geul-lo-ja Jong-hap Bok-ji-gwan,,35.977584,129.38153
302,3,13,공단정수장,Gong-dan Jeong-su-jang,,35.978884,129.375478
302,3,14,포항변전소,Po-hang Byeon-jeon-so,,35.982969,129.368446
302,3,15,장흥동사거리,Jang-heung-dong Sa-geo-ri,,35.98699,129.362839
302,3,16,덕천빌딩,Deok-cheon Building,,35.98869,129.357485
302,3,17,오천리,O-cheol-li,,35.989121,129.354593
302,3,18,에코코아루,Echo Koaroo,,35.99311,129.351995
302,3,19,영일고등학교,Yeong-il Go-deung-hak-gyo,,35.996967,129.351456
302,3,20,연일전통시장,Yeon-il Jeon-tong Si-jang,,35.997286,129.348776
302,3,21,연일파출소,Yeon-il Pa-chul-so,,35.997506,129.34651
302,3,22,경북자동차학원,Gyeong-buk Ja-dong-cha Ha-gwon,,35.997923,129.344061
302,3,23,포항남부경찰서,Po-hang Nam-bu Gyeong-chal-seo,,36.005349,129.34473
302,3,24,시외버스터미널,Si-oe Bus Terminal,,36.013273,129.350668
302,3,25,교보생명,Gyobo saengmyeong,,36.01522,129.35222
302,3,26,쌍용사거리,Ssang-yong Sa-geo-ri,,36.015336,129.35494
302,3,27,상대지구대,Sang-dae Ji-gu-dae,,36.015184,129.358859
302,3,28,KT(세명기독병원),KT (Se-myeong Gi-dok Byeong-won),,36.017171,129.360454
302,3,29,상대시장,Sang-dae Si-jang,,36.019512,129.361894
302,3,30,대해초등학교,Dae-hae Cho-deung-hak-gyo,,36.021936,129.366012
302,3,31,해도119안전센터,Hae-do I-ril-gu An-jeon Center,,36.022841,129.369901
302,3,32,고속버스터미널,Go-sok Bus Terminal,,36.027017,129.367614
